City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
208,Kangaatsiaq,68.3065,-53.4641,44.92,92,100,21.39,GL,light rain
209,Kununurra,-15.7667,128.7333,75.18,46,0,12.66,AU,clear sky
210,Kushima,31.4583,131.2333,80.06,87,82,9.8,JP,moderate rain
211,Mayumba,-3.432,10.6554,72.97,89,23,5.41,GA,few clouds
212,Cockburn Town,21.4612,-71.1419,83.05,74,3,17.16,TC,clear sky
213,Kirkenaer,60.4564,12.0582,48.56,97,100,3.09,NO,overcast clouds
214,Kautokeino,69.0125,23.0412,39.78,78,100,12.21,NO,overcast clouds
215,Krasnoselkup,65.7,82.4667,41.83,67,69,6.73,RU,broken clouds
216,Hobart,-42.8794,147.3294,50.25,74,75,9.22,AU,broken clouds
217,Sao Filipe,14.8961,-24.4956,78.24,87,62,10.92,CV,light rain
218,Mao,39.8885,4.2658,77.56,94,20,4.61,ES,few clouds
219,Alta Floresta,-9.8756,-56.0861,81.99,24,6,4.05,BR,clear sky
220,Maragogi,-9.0122,-35.2225,74.55,79,6,10.07,BR,clear sky
221,Bubaque,11.2833,-15.8333,78.87,81,93,12.33,GW,moderate rain
222,Iracoubo,5.4802,-53.2011,80.04,82,86,12.46,GF,overcast clouds
223,Fairbanks,64.8378,-147.7164,63.61,62,74,3.89,US,broken clouds
224,Coahuayana,18.7333,-103.6833,87.39,66,98,8.52,MX,overcast clouds
225,Brae,60.3964,-1.353,55.09,90,46,14.18,GB,scattered clouds
226,Tateyama,34.9833,139.8667,77.09,85,100,8.68,JP,overcast clouds
227,Lukovetskiy,64.2956,41.9211,41.77,99,100,1.36,RU,overcast clouds
228,Coquimbo,-29.9533,-71.3436,55.96,84,20,3.85,CL,few clouds
229,Solnechnyy,50.7214,136.6319,61.61,71,38,4.79,RU,scattered clouds
230,Birnin Kebbi,12.4539,4.1975,72.82,91,98,11.01,NG,overcast clouds
231,Ilulissat,69.2167,-51.1,41.94,98,100,5.48,GL,light rain
232,Hofn,64.2539,-15.2082,50.38,90,90,14.63,IS,overcast clouds
233,Majenang,-7.2975,108.7642,74.7,93,98,1.83,ID,overcast clouds
234,Jaguaribe,-5.8906,-38.6219,82.87,42,3,9.01,BR,clear sky
235,Pahrump,36.2083,-115.9839,109.45,11,77,3.0,US,broken clouds
236,Cervo,43.6702,-7.4101,58.96,75,1,5.53,ES,clear sky
237,Port Elizabeth,-33.918,25.5701,54.1,80,84,10.87,ZA,broken clouds
238,Isangel,-19.55,169.2667,76.26,60,92,13.65,VU,overcast clouds
239,Saint-Pierre,-21.3393,55.4781,68.92,88,75,5.75,RE,broken clouds
240,Huatulco,15.8436,-96.3267,75.87,92,100,9.22,MX,overcast clouds
241,Awjilah,29.1081,21.2869,80.53,52,0,9.78,LY,clear sky
242,Tonj,7.2737,28.6822,69.01,96,67,7.96,SS,broken clouds
243,Zhuanghe,39.7008,122.9911,67.08,88,100,9.19,CN,overcast clouds
244,Layou,13.2,-61.2667,80.1,72,62,1.61,VC,broken clouds
245,Carnarvon,-24.8667,113.6333,65.19,74,6,11.23,AU,clear sky
246,Clyde River,70.4692,-68.5914,36.75,97,72,4.56,CA,broken clouds
247,Lebu,-37.6167,-73.65,49.33,84,16,18.72,CL,few clouds
248,Ust-Maya,60.4167,134.5333,42.15,91,99,7.14,RU,overcast clouds
249,Samarai,-10.6167,150.6667,81.73,77,19,12.17,PG,few clouds
250,Avarua,-21.2078,-159.775,78.85,83,75,9.22,CK,broken clouds
251,Sampit,-2.5333,112.95,74.41,96,97,0.51,ID,overcast clouds
252,Inyonga,-6.7167,32.0667,67.82,34,66,7.07,TZ,broken clouds
253,Port Hardy,50.6996,-127.4199,64.26,76,100,1.28,CA,overcast clouds
254,Itarema,-2.9248,-39.9167,78.03,81,53,18.14,BR,broken clouds
255,Komatipoort,-25.4332,31.9548,62.74,45,0,4.05,ZA,clear sky
256,Hobyo,5.3505,48.5268,75.6,80,79,24.74,SO,broken clouds
257,Kanigoro,-8.13,112.219,72.5,92,41,3.62,ID,scattered clouds
258,Reconquista,-29.15,-59.65,57.45,52,0,9.86,AR,clear sky
259,West Bay,19.3667,-81.4167,86.0,78,40,8.05,KY,scattered clouds
260,Touros,-5.1989,-35.4608,75.97,82,8,14.36,BR,clear sky
261,Harper,4.375,-7.7169,75.6,88,40,6.71,LR,scattered clouds
262,Batemans Bay,-35.7167,150.1833,54.1,58,86,9.62,AU,overcast clouds
263,Healdsburg,38.6105,-122.8692,107.1,31,0,9.22,US,haze
264,Morant Bay,17.8815,-76.4093,77.7,78,92,7.18,JM,overcast clouds
265,Birao,10.2849,22.7882,70.99,98,100,3.96,CF,overcast clouds
266,Tarko-Sale,64.9225,77.785,43.95,79,97,10.27,RU,overcast clouds
267,Nouadhibou,20.931,-17.0347,74.25,86,20,13.15,MR,light rain
268,Suez,29.9737,32.5263,75.88,81,0,9.31,EG,clear sky
269,Shingu,33.7333,135.9833,79.74,83,20,6.46,JP,few clouds
270,Panguna,-6.3164,155.4848,77.49,71,100,3.22,PG,overcast clouds
271,Husavik,66.0449,-17.3389,50.61,90,5,3.96,IS,clear sky
272,Richards Bay,-28.783,32.0377,67.06,59,0,13.47,ZA,clear sky
273,Batagay,67.6333,134.6333,40.39,93,100,4.65,RU,overcast clouds
274,Arraial Do Cabo,-22.9661,-42.0278,69.82,74,0,29.51,BR,clear sky
275,Qaqortoq,60.7167,-46.0333,48.72,71,98,5.97,GL,overcast clouds
276,Bhatapara,21.7333,81.9333,79.92,81,82,4.76,IN,broken clouds
277,Konongo,6.6167,-1.2167,69.84,98,73,1.43,GH,broken clouds
278,Cherskiy,68.75,161.3,40.98,83,100,7.63,RU,moderate rain
279,La Llanada,1.49,-77.5835,52.25,93,72,4.16,CO,moderate rain
280,Adre,13.4667,22.2,72.86,86,92,6.38,TD,overcast clouds
281,Jardim,-21.4803,-56.1381,76.62,60,48,8.84,BR,scattered clouds
282,Khovu-Aksy,51.1333,93.6,50.76,81,87,3.91,RU,overcast clouds
283,Morococha,-11.5997,-76.1411,38.48,76,88,4.99,PE,overcast clouds
284,Bairiki,1.3292,172.9752,81.66,74,43,16.2,KI,scattered clouds
285,Saint-Francois,46.4154,3.9054,62.04,100,81,3.44,FR,broken clouds
286,Maceio,-9.6658,-35.7353,71.04,94,20,5.75,BR,few clouds
287,Bardiyah,31.7561,25.0865,77.58,76,0,4.94,LY,clear sky
